,protein_path,ligand,PDB_fn,PDB,PDB_chain,LIG,PDB_chain_LIG,ro_label,lo_label
207,docking_poses/receptor/CDK2_fastH_pdbqt/4EZ7_A.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,4EZ7_A,4EZ7,4EZ7_A,ATP,4EZ7_A_ATP,3,0
208,docking_poses/receptor/CDK2_fastH_pdbqt/1JST_A.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,1JST_A,1JST,1JST_A,ATP,1JST_A_ATP,2,0
209,docking_poses/receptor/CDK2_fastH_pdbqt/7ACK_C_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,7ACK_C_01,7ACK,7ACK_C,ATP,7ACK_C_ATP,2,0
210,docking_poses/receptor/CDK2_fastH_pdbqt/3BHT_A_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,3BHT_A_01,3BHT,3BHT_A,ATP,3BHT_A_ATP,2,0
211,docking_poses/receptor/CDK2_fastH_pdbqt/2C5V_C_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,2C5V_C_01,2C5V,2C5V_C,ATP,2C5V_C_ATP,2,0
212,docking_poses/receptor/CDK2_fastH_pdbqt/4BCM_C_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,4BCM_C_01,4BCM,4BCM_C,ATP,4BCM_C_ATP,2,0
213,docking_poses/receptor/CDK2_fastH_pdbqt/7KJS_A_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,7KJS_A_01,7KJS,7KJS_A,ATP,7KJS_A_ATP,2,0
214,docking_poses/receptor/CDK2_fastH_pdbqt/3BHU_A_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,3BHU_A_01,3BHU,3BHU_A,ATP,3BHU_A_ATP,2,0
215,docking_poses/receptor/CDK2_fastH_pdbqt/4CFW_C_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,4CFW_C_01,4CFW,4CFW_C,ATP,4CFW_C_ATP,2,0
216,docking_poses/receptor/CDK2_fastH_pdbqt/1B38_A_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,1B38_A_01,1B38,1B38_A,ATP,1B38_A_ATP,1,0
217,docking_poses/receptor/CDK2_fastH_pdbqt/4FKG_A_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,4FKG_A_01,4FKG,4FKG_A,ATP,4FKG_A_ATP,1,0
218,docking_poses/receptor/CDK2_fastH_pdbqt/2R3R_A_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,2R3R_A_01,2R3R,2R3R_A,ATP,2R3R_A_ATP,1,0
219,docking_poses/receptor/CDK2_fastH_pdbqt/1GIH_A_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,1GIH_A_01,1GIH,1GIH_A,ATP,1GIH_A_ATP,1,0
220,docking_poses/receptor/CDK2_fastH_pdbqt/2BHE_A_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,2BHE_A_01,2BHE,2BHE_A,ATP,2BHE_A_ATP,1,0
221,docking_poses/receptor/CDK2_fastH_pdbqt/4FKI_A_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,4FKI_A_01,4FKI,4FKI_A,ATP,4FKI_A_ATP,1,0
222,docking_poses/receptor/CDK2_fastH_pdbqt/1GIJ_A_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,1GIJ_A_01,1GIJ,1GIJ_A,ATP,1GIJ_A_ATP,1,0
223,docking_poses/receptor/CDK2_fastH_pdbqt/2VTR_A_01.pdbqt,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,2VTR_A_01,2VTR,2VTR_A,ATP,2VTR_A_ATP,1,0
224,docking_poses/receptor/CDK2_fastH_pdbqt/7S7A_A_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,7S7A_A_01,7S7A,7S7A_A,R7B,7S7A_A_R7B,1,0
225,docking_poses/receptor/CDK2_fastH_pdbqt/8FOW_A_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,8FOW_A_01,8FOW,8FOW_A,R7B,8FOW_A_R7B,1,0
226,docking_poses/receptor/CDK2_fastH_pdbqt/7S9X_A_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,7S9X_A_01,7S9X,7S9X_A,R7B,7S9X_A_R7B,1,0
227,docking_poses/receptor/CDK2_fastH_pdbqt/7RXO_A_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,7RXO_A_01,7RXO,7RXO_A,R7B,7RXO_A_R7B,1,0
228,docking_poses/receptor/CDK2_fastH_pdbqt/7S84_A_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,7S84_A_01,7S84,7S84_A,R7B,7S84_A_R7B,1,0
229,docking_poses/receptor/CDK2_fastH_pdbqt/7S85_A_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,7S85_A_01,7S85,7S85_A,R7B,7S85_A_R7B,1,0
230,docking_poses/receptor/CDK2_fastH_pdbqt/7S4T_A_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,7S4T_A_01,7S4T,7S4T_A,R7B,7S4T_A_R7B,1,0
231,docking_poses/receptor/CDK2_fastH_pdbqt/8FP0_A_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,8FP0_A_01,8FP0,8FP0_A,R7B,8FP0_A_R7B,1,0
232,docking_poses/receptor/CDK2_fastH_pdbqt/7RWF_A.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,7RWF_A,7RWF,7RWF_A,R7B,7RWF_A_R7B,1,0
233,docking_poses/receptor/CDK2_fastH_pdbqt/3PXF_A.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,3PXF_A,3PXF,3PXF_A,R7B,3PXF_A_R7B,3,0
234,docking_poses/receptor/CDK2_fastH_pdbqt/3PXQ_A_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,3PXQ_A_01,3PXQ,3PXQ_A,R7B,3PXQ_A_R7B,3,0
235,docking_poses/receptor/CDK2_fastH_pdbqt/4EZ7_A.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,4EZ7_A,4EZ7,4EZ7_A,R7B,4EZ7_A_R7B,3,0
236,docking_poses/receptor/CDK2_fastH_pdbqt/1JST_A.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,1JST_A,1JST,1JST_A,R7B,1JST_A_R7B,2,0
237,docking_poses/receptor/CDK2_fastH_pdbqt/7ACK_C_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,7ACK_C_01,7ACK,7ACK_C,R7B,7ACK_C_R7B,2,0
238,docking_poses/receptor/CDK2_fastH_pdbqt/3BHT_A_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,3BHT_A_01,3BHT,3BHT_A,R7B,3BHT_A_R7B,2,0
239,docking_poses/receptor/CDK2_fastH_pdbqt/2C5V_C_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,2C5V_C_01,2C5V,2C5V_C,R7B,2C5V_C_R7B,2,0
240,docking_poses/receptor/CDK2_fastH_pdbqt/4BCM_C_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,4BCM_C_01,4BCM,4BCM_C,R7B,4BCM_C_R7B,2,0
241,docking_poses/receptor/CDK2_fastH_pdbqt/7KJS_A_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,7KJS_A_01,7KJS,7KJS_A,R7B,7KJS_A_R7B,2,0
242,docking_poses/receptor/CDK2_fastH_pdbqt/3BHU_A_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,3BHU_A_01,3BHU,3BHU_A,R7B,3BHU_A_R7B,2,0
243,docking_poses/receptor/CDK2_fastH_pdbqt/4CFW_C_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,4CFW_C_01,4CFW,4CFW_C,R7B,4CFW_C_R7B,2,0
244,docking_poses/receptor/CDK2_fastH_pdbqt/1B38_A_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,1B38_A_01,1B38,1B38_A,R7B,1B38_A_R7B,1,0
245,docking_poses/receptor/CDK2_fastH_pdbqt/4FKG_A_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,4FKG_A_01,4FKG,4FKG_A,R7B,4FKG_A_R7B,1,0
246,docking_poses/receptor/CDK2_fastH_pdbqt/2R3R_A_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,2R3R_A_01,2R3R,2R3R_A,R7B,2R3R_A_R7B,1,0
247,docking_poses/receptor/CDK2_fastH_pdbqt/1GIH_A_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,1GIH_A_01,1GIH,1GIH_A,R7B,1GIH_A_R7B,1,0
248,docking_poses/receptor/CDK2_fastH_pdbqt/2BHE_A_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,2BHE_A_01,2BHE,2BHE_A,R7B,2BHE_A_R7B,1,0
249,docking_poses/receptor/CDK2_fastH_pdbqt/4FKI_A_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,4FKI_A_01,4FKI,4FKI_A,R7B,4FKI_A_R7B,1,0
250,docking_poses/receptor/CDK2_fastH_pdbqt/1GIJ_A_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,1GIJ_A_01,1GIJ,1GIJ_A,R7B,1GIJ_A_R7B,1,0
251,docking_poses/receptor/CDK2_fastH_pdbqt/2VTR_A_01.pdbqt,O=C1NC=C(C2CCCCC2)c3nccn13,2VTR_A_01,2VTR,2VTR_A,R7B,2VTR_A_R7B,1,0
252,docking_poses/receptor/CDK2_fastH_pdbqt/7S7A_A_01.pdbqt,COc1ccnc2[nH]cc(c3ccnc(N)n3)c12,7S7A_A_01,7S7A,7S7A_A,MFR,7S7A_A_MFR,1,0
253,docking_poses/receptor/CDK2_fastH_pdbqt/8FOW_A_01.pdbqt,COc1ccnc2[nH]cc(c3ccnc(N)n3)c12,8FOW_A_01,8FOW,8FOW_A,MFR,8FOW_A_MFR,1,0
254,docking_poses/receptor/CDK2_fastH_pdbqt/7S9X_A_01.pdbqt,COc1ccnc2[nH]cc(c3ccnc(N)n3)c12,7S9X_A_01,7S9X,7S9X_A,MFR,7S9X_A_MFR,1,0
255,docking_poses/receptor/CDK2_fastH_pdbqt/7RXO_A_01.pdbqt,COc1ccnc2[nH]cc(c3ccnc(N)n3)c12,7RXO_A_01,7RXO,7RXO_A,MFR,7RXO_A_MFR,1,0
256,docking_poses/receptor/CDK2_fastH_pdbqt/7S84_A_01.pdbqt,COc1ccnc2[nH]cc(c3ccnc(N)n3)c12,7S84_A_01,7S84,7S84_A,MFR,7S84_A_MFR,1,0
